"วันที่ลงบันทึก","เลขที่","ชื่อ","ที่อยู่","ยอดเงิน"
"2018-03-02","IV61030010","นายสสส อออ","","300"
"2018-02-05","IV610200002","ร้าน เจริญกิจวิทยุ","1490/19 ถ.ขุขันธ์","33,950.00"
"2018-01-17","IV61010185","หจก. เอ็ม.เอ็น อิเล็คทริคซัพพลาย","251/34 ม.2 ถ.สุขุมวิท ","2,211.60"
"2018-01-15","IV61010169","ร้าน วุฒิชัยการไฟฟ้า","26/3 ม.10 ถ.โคก","2,145.00"
"2018-01-15","IV61010168","ร้าน แอทโฮม","204","1,832.00"
"2018-01-15","IV61010167","ร้าน S.P.การไฟฟ้า","64 ม.7","36,640.00"
"2018-01-15","IV61010165","ร้าน ไฟฟ้าสองนคร","101/8 ม.2","3,078.00"
"2018-01-15","IV61010164","ร้าน ซอดีกีนการไฟฟ้า-ประปาฮาร์ดแวร์","282 ม.7","12,160.00"
"2018-01-15","IV61010163","บริษัท เมืองเลยบิ๊กโฮม","11/2 ถ.เลย-เชียงคาน","31,380.00"
"2018-01-15","IV61010160","ร้าน ทรัพย์ทวีอะไหล่","135/9 ม.2 ","3,558.00"
"2018-01-15","IV61010159","ร้าน ลิพอนฮาร์ดแวร์","97/3-4 ม.8 ถ.เทพกระษัตรี","3,780.00"
"2018-01-15","IV61010158","ร้าน วุฒิชัยการไฟฟ้า","26/3 ม.10 ถ.โคก","18,260.00"
"2018-01-15","IV61010172","ร้าน พิพัฒน์การไฟฟ้า","315/317 ถ.ผดุงพานิชย์","28,200.00"
"2018-01-15","IV61010171","หจก. ยิ่งเจริญพาณิชย์ปากช่อง","680/1 ถนนมิตรภาพ","5,000.00"
"2018-01-15","IV61010166","ร้าน ศรีลำไพรการไฟฟ้า เวียงจันทร์","( ร้านแม่นาง ตลาดบ้านหนองด้วง)","151,200.00"
"2018-01-15","IV61010162","ร้าน วุฒิชัยการไฟฟ้า","26/3 ม.10 ถ.โคก","23,018.75"
"2018-01-15","IV61010161","หจก. ธนาการไฟฟ้า","101/26 ถ.รัษฎา","3,900.00"
"2018-01-15","CT6101129","หจก. หมื่นแสนค้าไม้","31/12 ม.10 ถ.เลียบคลองภาษีเจริญฝั่งเหนือ ","8,140.00"
"2018-01-13","IV61010157","ร้าน จิรภัทรการไฟฟ้า","79,21/4 ม.4","6,080.00"
"2018-01-13","IV61010154","ร้าน ร่ำรวย เคหะภัณฑ์","888/9 หมู่ 4","48,781.30"
"2018-01-13","IV61010153","นำชัยการไฟฟ้า","503/6-9 ถ.ลูกเสือ","22,840.00"
"2018-01-13","IV61010152","ร้าน จีโนฮาร์ดแวร์","25/6 ม.10","11,412.50"
"2018-01-13","IV61010151","ร้าน รัตน์การไฟฟ้า","111/7 ม.9 ต.พิชัย อ.เมือง จ.ลำปาง","15,664.00"
"2018-01-13","IV61010150","ร้าน รวมการไฟฟ้า","11/1 ม.1","17,680.00"
"2018-01-13","IV61010149","ร้าน วิชัย","184/9 ม.1","3,050.00"
"2018-01-13","IV61010148","ร้าน ชมภูพงศ์การไฟฟ้า","167-52 ม.8","7,575.00"
"2018-01-13","IV61010147","ร้าน ศรีเทพก่อสร้าง","39/1 ม.5","2,002.00"
